t_s,U1_mV,U2_mV,U3_mV
0.020000,0.000,-281691.320,281691.320
0.020128,13097.267,-288011.502,274914.235
0.020256,26173.290,-293864.527,267691.237
0.020385,39206.860,-299240.903,260034.044
0.020513,52176.836,-304131.910,251955.074
0.020641,65062.181,-308529.613,243467.432
0.020769,77841.995,-312426.880,234584.885
0.020897,90495.549,-315817.390,225321.840
0.021026,103002.319,-318695.643,215693.323
0.021154,115342.019,-321056.970,205714.950
0.021282,127494.634,-322897.541,195402.907
0.021410,139440.452,-324214.372,184773.920
0.021538,151160.097,-325005.325,173845.229
0.021667,162634.560,-325269.119,162634.560
0.021795,173845.229,-325005.325,151160.097
0.021923,184773.920,-324214.372,139440.452
0.022051,195402.907,-322897.541,127494.634
0.022179,205714.950,-321056.970,115342.019
0.022308,215693.323,-318695.643,103002.319
0.022436,225321.840,-315817.390,90495.549
0.022564,234584.885,-312426.880,77841.995
0.022692,243467.432,-308529.613,65062.181
0.022821,251955.074,-304131.910,52176.836
0.022949,260034.044,-299240.903,39206.860
0.023077,267691.237,-293864.527,26173.290
0.023205,274914.235,-288011.502,13097.267
0.023333,281691.320,-281691.320,-0.000
0.023462,288011.502,-274914.235,-13097.267
0.023590,293864.527,-267691.237,-26173.290
0.023718,299240.903,-260034.044,-39206.860
0.023846,304131.910,-251955.074,-52176.836
0.023974,308529.613,-243467.432,-65062.181
0.024103,312426.880,-234584.885,-77841.995
0.024231,315817.390,-225321.840,-90495.549
0.024359,318695.643,-215693.323,-103002.319
0.024487,321056.970,-205714.950,-115342.019
0.024615,322897.541,-195402.907,-127494.634
0.024744,324214.372,-184773.920,-139440.452
0.024872,325005.325,-173845.229,-151160.097
0.025000,325269.119,-162634.560,-162634.560
0.025128,325005.325,-151160.097,-173845.229
0.025256,324214.372,-139440.452,-184773.920
0.025385,322897.541,-127494.634,-195402.907
0.025513,321056.970,-115342.019,-205714.950
0.025641,318695.643,-103002.319,-215693.323
0.025769,315817.390,-90495.549,-225321.840
0.025897,312426.880,-77841.995,-234584.885
0.026026,308529.613,-65062.181,-243467.432
0.026154,304131.910,-52176.836,-251955.074
0.026282,299240.903,-39206.860,-260034.044
0.026410,293864.527,-26173.290,-267691.237
0.026538,288011.502,-13097.267,-274914.235
0.026667,281691.320,0.000,-281691.320
0.026795,274914.235,13097.267,-288011.502
0.026923,267691.237,26173.290,-293864.527
0.027051,260034.044,39206.860,-299240.903
0.027179,251955.074,52176.836,-304131.910
0.027308,243467.432,65062.181,-308529.613
0.027436,234584.885,77841.995,-312426.880
0.027564,225321.840,90495.549,-315817.390
0.027692,215693.323,103002.319,-318695.643
0.027821,205714.950,115342.019,-321056.970
0.027949,195402.907,127494.634,-322897.541
0.028077,184773.920,139440.452,-324214.372
0.028205,173845.229,151160.097,-325005.325
0.028333,162634.560,162634.560,-325269.119
0.028462,151160.097,173845.229,-325005.325
0.028590,139440.452,184773.920,-324214.372
0.028718,127494.634,195402.907,-322897.541
0.028846,115342.019,205714.950,-321056.970
0.028974,103002.319,215693.323,-318695.643
0.029103,90495.549,225321.840,-315817.390
0.029231,77841.995,234584.885,-312426.880
0.029359,65062.181,243467.432,-308529.613
0.029487,52176.836,251955.074,-304131.910
0.029615,39206.860,260034.044,-299240.903
0.029744,26173.290,267691.237,-293864.527
0.029872,13097.267,274914.235,-288011.502
